,ZipCode,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
ZipCode,1.0,0.030536051311047956,-0.12089289694507206,0.0948175277094802,-0.00958194913551161,-0.11771881943565765,-0.05266923233620437,-0.07665709836002887,-0.04350887131529115,-0.03693079089834125,-0.05922550373590348,0.002821763041687852,-0.07075696592636681,-0.07665913482475863,-0.050814537436262526,-0.055919555375950974,-0.04181149380188841,-0.05004550348831343,-0.038623960775963403,-0.03690891913767126,-0.03690891904095749,-0.028650433092568747,-0.028650432962788974,-0.047685949563541184,-0.08339357244596862
Latitude,0.030536051311047956,1.0,0.005249642679938991,0.11723897929126902,0.020646210268141903,-0.023980445474459103,-0.018162017595355268,-0.001167058199687229,-0.018932426967265416,-0.015277250235929405,-0.05277304567186191,0.0799475479973897,-0.012730372426144046,-0.01691813183881475,-0.0012732368271845293,-0.0023264686280297232,-0.021313958229285886,-0.04198518146954164,-0.015448171456991993,-0.018924302491671537,-0.018924302641306057,-0.020859960182015948,-0.020859960176789295,-0.02608933290853484,-0.04072669471573427
Longitude,-0.12089289694507206,0.005249642679938991,1.0,-0.051110768373071463,0.01785827069737857,-0.026053906544592564,0.02538255578402103,-0.003373991276378368,0.027237342395044585,0.02932265507666567,0.01854469203258783,-0.026403547711583538,0.027694562045016583,0.027466556149732625,0.019152523851525827,0.018590480602540923,0.0338026105069804,0.03215601565117099,0.01850170830977996,0.026536599224163463,0.0265365990156395,0.03318046091587291,0.03318046111527458,0.03741137855086887,0.03936501248678362
YearBuilt,0.0948175277094802,0.11723897929126902,-0.051110768373071463,1.0,-0.02371160278408777,0.14621359106812828,0.10041699781676978,0.1831757208350357,0.07720284254443129,0.07018714881848229,0.19744741630333082,0.028813023419256095,-0.019642165113446908,-0.030899789532001853,0.04339422674518287,0.03906608776267086,0.027251055624519366,0.06927716650846102,-0.018233513758250303,0.03984940153797587,0.03984940142735781,0.0232749828972976,0.023274982879934614,0.012830993470392942,-0.1462123912798832
NumberofBuildings,-0.00958194913551161,0.020646210268141903,0.01785827069737857,-0.02371160278408777,1.0,-0.02638564483779694,0.6934122476359409,-0.004773872137658987,0.7304868103692062,0.7587491308507076,0.11282101378853163,-0.004900495486953189,0.03300291142033976,0.007033578334852065,0.03159931593548363,0.00389600540989827,0.6907124052782413,0.09048632954766307,0.397587590541449,0.7350280988125133,0.7350280993626422,0.0623244817626471,0.06232448175918508,0.40526077302612185,0.027563834786199188
NumberofFloors,-0.11771881943565765,-0.023980445474459103,-0.026053906544592564,0.14621359106812828,-0.02638564483779694,1.0,0.40048848065493564,0.42048888006744195,0.3561074339739242,0.33921206210568616,0.46990772756794524,0.023539673131386312,0.009351413893438272,-0.0008566737291378735,0.03767925688683832,0.0316664061797344,0.2058641378806113,0.29309564528902377,0.07949726537290522,0.2515142519685188,0.25151425148037454,0.065226262076228,0.06522626249698497,0.13601446904885578,-0.04244479777519295
PropertyGFATotal,-0.05266923233620437,-0.018162017595355268,0.02538255578402103,0.10041699781676978,0.6934122476359409,0.40048848065493564,1.0,0.40258030081824686,0.9898225018745295,0.9741132471401682,0.8074107934844132,0.06734234122478049,0.07101950789949561,0.04008030031859778,0.08331532109146836,0.05466236293869874,0.7967814609726741,0.4008131497338977,0.4405681902750468,0.8495757838483026,0.8495757838467147,0.1834083179615794,0.18340831813333075,0.5314356222907312,0.020104557032295207
PropertyGFAParking,-0.07665709836002887,-0.001167058199687229,-0.003373991276378368,0.1831757208350357,-0.004773872137658987,0.42048888006744195,0.40258030081824686,1.0,0.2682169674995718,0.30057795090215195,0.4779590664429769,0.04955885381864632,0.09711019706858266,0.08916004077745532,0.13455338388649865,0.12806525446831118,0.17154369222467408,0.2384636499400888,0.01350123056926462,0.22035590410807096,0.22035590418192497,0.05854710789495796,0.058547107825842666,0.08862517044294797,-0.04315975856226266
PropertyGFABuilding(s),-0.04350887131529115,-0.018932426967265416,0.027237342395044585,0.07720284254443129,0.7304868103692062,0.3561074339739242,0.9898225018745295,0.2682169674995718,1.0,0.9784215559590557,0.7917274284918412,0.06452964355265595,0.05960224834115577,0.028331688849183703,0.06676215081265917,0.03761653524197198,0.8118659238460127,0.3847777798505824,0.46155399251953766,0.8598334592773906,0.8598334592642372,0.18391632545937203,0.1839163256508675,0.5455033297151923,0.027867941931180817
LargestPropertyUseTypeGFA,-0.03693079089834125,-0.015277250235929405,0.02932265507666567,0.07018714881848229,0.7587491308507076,0.33921206210568616,0.9741132471401682,0.30057795090215195,0.9784215559590557,1.0,0.7691562369531444,0.0580884749616716,0.057340699694324516,0.026611141269323978,0.06213499652844898,0.0324673791324079,0.8361852712873745,0.39357369743096793,0.49763564377527286,0.8750594960399807,0.8750594959765979,0.19875326728725645,0.1987532675133482,0.5784867158006225,0.05355472569843203
SecondLargestPropertyUseTypeGFA,-0.05922550373590348,-0.05277304567186191,0.01854469203258783,0.19744741630333082,0.11282101378853163,0.46990772756794524,0.8074107934844132,0.4779590664429769,0.7917274284918412,0.7691562369531444,1.0,0.08298002637949868,0.09901026251706758,0.07659952207534632,0.10929147339839651,0.10027155901508264,0.6301210245563278,0.6266308632234975,0.26386624965042105,0.6344931253170712,0.6344931257155653,0.3879369059660276,0.3879369060608859,0.5065372883478183,0.10572405901075085
ENERGYSTARScore,0.002821763041687852,0.0799475479973897,-0.026403547711583538,0.028813023419256095,-0.004900495486953189,0.023539673131386312,0.06734234122478049,0.04955885381864632,0.06452964355265595,0.0580884749616716,0.08298002637949868,1.0,-0.3427270616823835,-0.3490343243106837,-0.3053385998598321,-0.3110538004560063,-0.09019619039404925,-0.09016322167125543,-0.040440849190891734,-0.05729886229257562,-0.05729886140457888,-0.10242178978187119,-0.10242179052432036,-0.10163286694284072,-0.26926317618634427
SiteEUI(kBtu/sf),-0.07075696592636681,-0.012730372426144046,0.027694562045016583,-0.019642165113446908,0.03300291142033976,0.009351413893438272,0.07101950789949561,0.09711019706858266,0.05960224834115577,0.057340699694324516,0.09901026251706758,-0.3427270616823835,1.0,0.99354855612676,0.9441406081108249,0.9402035818243538,0.30096649548101756,0.3974743895586154,0.10661719377448414,0.2850531645801981,0.2850531642760258,0.26020660485812225,0.2602066052501797,0.28660836224784825,0.730896615066767
SiteEUIWN(kBtu/sf),-0.07665913482475863,-0.01691813183881475,0.027466556149732625,-0.030899789532001853,0.007033578334852065,-0.0008566737291378735,0.04008030031859778,0.08916004077745532,0.028331688849183703,0.026611141269323978,0.07659952207534632,-0.3490343243106837,0.99354855612676,1.0,0.9304341745492564,0.9380513570239776,0.272799086040575,0.3944365861473697,0.0932329959104029,0.25301251520036966,0.2530125149262978,0.2627247818213742,0.2627247822599303,0.2746157429089195,0.7455733925559176
SourceEUI(kBtu/sf),-0.050814537436262526,-0.0012732368271845293,0.019152523851525827,0.04339422674518287,0.03159931593548363,0.03767925688683832,0.08331532109146836,0.13455338388649865,0.06676215081265917,0.06213499652844898,0.10929147339839651,-0.3053385998598321,0.9441406081108249,0.9304341745492564,1.0,0.9943169401701174,0.29680448712615826,0.38827836792938536,0.09056341910379812,0.3231799758471709,0.32317997563472006,0.17750708792863043,0.17750708805240112,0.2302427921723632,0.5242320994894621
SourceEUIWN(kBtu/sf),-0.055919555375950974,-0.0023264686280297232,0.018590480602540923,0.03906608776267086,0.00389600540989827,0.0316664061797344,0.05466236293869874,0.12806525446831118,0.03761653524197198,0.0324673791324079,0.10027155901508264,-0.3110538004560063,0.9402035818243538,0.9380513570239776,0.9943169401701174,1.0,0.2689864944058274,0.3870748202055456,0.07679962937023706,0.29328882565092657,0.29328882544531215,0.17666994849610884,0.17666994866341418,0.21623244759254331,0.529582935922916
SiteEnergyUse(kBtu),-0.04181149380188841,-0.021313958229285886,0.0338026105069804,0.027251055624519366,0.6907124052782413,0.2058641378806113,0.7967814609726741,0.17154369222467408,0.8118659238460127,0.8361852712873745,0.6301210245563278,-0.09019619039404925,0.30096649548101756,0.272799086040575,0.29680448712615826,0.2689864944058274,1.0,0.7151493593345866,0.6043231049358156,0.9565560497787309,0.9565560496442488,0.5144077319636037,0.5144077317611182,0.8626684111768885,0.3107286863706259
SiteEnergyUseWN(kBtu),-0.05004550348831343,-0.04198518146954164,0.03215601565117099,0.06927716650846102,0.09048632954766307,0.29309564528902377,0.4008131497338977,0.2384636499400888,0.3847777798505824,0.39357369743096793,0.6266308632234975,-0.09016322167125543,0.3974743895586154,0.3944365861473697,0.38827836792938536,0.3870748202055456,0.7151493593345866,1.0,0.4727012339268869,0.5877124448006691,0.5877124442566699,0.7276171663294674,0.7276171661070435,0.8590419059580883,0.4347846218125241
SteamUse(kBtu),-0.038623960775963403,-0.015448171456991993,0.01850170830977996,-0.018233513758250303,0.397587590541449,0.07949726537290522,0.4405681902750468,0.01350123056926462,0.46155399251953766,0.49763564377527286,0.26386624965042105,-0.040440849190891734,0.10661719377448414,0.0932329959104029,0.09056341910379812,0.07679962937023706,0.6043231049358156,0.4727012339268869,1.0,0.5469645245997803,0.5469645239097727,0.026827034630787255,0.026827034043560946,0.6832544876190477,0.1940532388588117
Electricity(kWh),-0.03690891913767126,-0.018924302491671537,0.026536599224163463,0.03984940153797587,0.7350280988125133,0.2515142519685188,0.8495757838483026,0.22035590410807096,0.8598334592773906,0.8750594960399807,0.6344931253170712,-0.05729886229257562,0.2850531645801981,0.25301251520036966,0.3231799758471709,0.29328882565092657,0.9565560497787309,0.5877124448006691,0.5469645245997803,1.0,1.0000000000000018,0.29098690937267785,0.290986909228652,0.6911114294490527,0.1779034338544407
Electricity(kBtu),-0.03690891904095749,-0.018924302641306057,0.0265365990156395,0.03984940142735781,0.7350280993626422,0.25151425148037454,0.8495757838467147,0.22035590418192497,0.8598334592642372,0.8750594959765979,0.6344931257155653,-0.05729886140457888,0.2850531642760258,0.2530125149262978,0.32317997563472006,0.29328882544531215,0.9565560496442488,0.5877124442566699,0.5469645239097727,1.0000000000000018,1.0,0.29098690922163495,0.29098690907761027,0.6911114289624678,0.17790343325750305
NaturalGas(therms),-0.028650433092568747,-0.020859960182015948,0.03318046091587291,0.0232749828972976,0.0623244817626471,0.065226262076228,0.1834083179615794,0.05854710789495796,0.18391632545937203,0.19875326728725645,0.3879369059660276,-0.10242178978187119,0.26020660485812225,0.2627247818213742,0.17750708792863043,0.17666994849610884,0.5144077319636037,0.7276171663294674,0.026827034630787255,0.29098690937267785,0.29098690922163495,1.0,0.9999999999999976,0.7322935485941722,0.49486425580666454
NaturalGas(kBtu),-0.028650432962788974,-0.020859960176789295,0.03318046111527458,0.023274982879934614,0.06232448175918508,0.06522626249698497,0.18340831813333075,0.058547107825842666,0.1839163256508675,0.1987532675133482,0.3879369060608859,-0.10242179052432036,0.2602066052501797,0.2627247822599303,0.17750708805240112,0.17666994866341418,0.5144077317611182,0.7276171661070435,0.026827034043560946,0.290986909228652,0.29098690907761027,0.9999999999999976,1.0,0.7322935482374103,0.4948642565296823
TotalGHGEmissions,-0.047685949563541184,-0.02608933290853484,0.03741137855086887,0.012830993470392942,0.40526077302612185,0.13601446904885578,0.5314356222907312,0.08862517044294797,0.5455033297151923,0.5784867158006225,0.5065372883478183,-0.10163286694284072,0.28660836224784825,0.2746157429089195,0.2302427921723632,0.21623244759254331,0.8626684111768885,0.8590419059580883,0.6832544876190477,0.6911114294490527,0.6911114289624678,0.7322935485941722,0.7322935482374103,1.0,0.4702115971915414
GHGEmissionsIntensity,-0.08339357244596862,-0.04072669471573427,0.03936501248678362,-0.1462123912798832,0.027563834786199188,-0.04244479777519295,0.020104557032295207,-0.04315975856226266,0.027867941931180817,0.05355472569843203,0.10572405901075085,-0.26926317618634427,0.730896615066767,0.7455733925559176,0.5242320994894621,0.529582935922916,0.3107286863706259,0.4347846218125241,0.1940532388588117,0.1779034338544407,0.17790343325750305,0.49486425580666454,0.4948642565296823,0.4702115971915414,1.0
